"ID","SEM_TRATADAS","DIST_SURCOS","DIST_PLANTAS","COLOR_ENDOSPERMO","CULT_ANT","DRENAJE","POBLACION_20DIAS","TIPO_MATERIAL","ALMACENAMIENTO_FINCA","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","MAT_ORGANICA","DRE_INTERN","PROF_EFEC","PText","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Temp_Min_15_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Temp_Min_15_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Temp_Min_15_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"2332","SI",0.85,0.16,"Blanco","Arroz","VERDADERO",71000,"OGM","NO",2,3,7,1,7,"MEDIA","LENTO A MUY LENTO",37,"A",32.53978983,22.24862256,27.3942062,10.29116727,42204.25367,127.2,0.038461538,0,80.43308596,7.361222678,32.71360323,21.85693656,27.28526989,10.85666667,24558.50003,62.8,0.033333333,0,77.52502459,7.836139254,34.21739805,22.58291529,28.40015667,11.63448276,13267.70056,48.8,0.068965517,0,75.89440965,5.94197941,132,40,120,4000
"2345","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",71500,"OGM","NO",1,1,6,1.8,6,"MEDIA","BUENO",46,"FA",36.19372116,22.85479446,29.52425781,13.3389267,37089.16845,12.5,0,0,69.68810866,8.426673948,36.81359844,22.23833333,29.52596589,14.5752651,21101.20653,1.8,0,0,68.58193415,7.750740662,39.79104324,23.15,31.47052162,16.64104324,11896.76202,0.1,0,0,56.08373394,7.669035329,166,66,46,4100
"2347","SI",0.85,0.16,"Blanco","Arroz","VERDADERO",71300,"OGM","NO",3,2,5,1.8,6,"BAJA","LENTO A MUY LENTO",41,"FA",32.52851907,22.22096494,27.374742,10.30755413,42662.26773,128,0.038461538,0,80.38273849,7.400368628,32.9229357,21.82960237,27.37626903,11.09333333,24919.47374,48.8,0.033333333,0,76.90750114,7.360319673,34.2170998,22.62863827,28.42286903,11.58846154,11891.23402,47.8,0.076923077,0,75.72492239,6.051355021,134,40,0,4000
"2348","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",71000,"OGM","NO",2,2,10,1.5,6,"BAJA","LENTO A MUY LENTO",30,"A",35.30571697,23.71315442,29.5094357,11.59256256,37473.88452,12.5,0,0,68.44757608,9.575573721,35.96893463,22.40666667,29.18780065,13.56226797,20850.36618,1.2,0,0,72.99099511,7.493365164,38.09110634,22.34166667,30.2163865,15.74943967,13291.11874,0.7,0,0,63.26155079,6.748391336,199,18,138,5200
"2533","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",70000,"OGM","NO",4,4,9,1.8,7,"MEDIA","BUENO",35,"A",35.13451749,23.73599019,29.43525384,11.3985273,37205.24694,12.9,0,0,68.67900014,9.612983647,35.9306013,22.48588035,29.20824083,13.44472095,20866.6521,4,0,0,73.21937522,7.562161285,37.89289769,22.29354839,30.09322304,15.5993493,11425.23357,0.6,0,0,64.29994321,6.32436662,124,232,112,6500
"2537","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",70000,"OGM","NO",4,4,9,1.6,7,"BAJA","LENTO A MUY LENTO",30,"ArA",32.22235637,22.47926602,27.3508112,9.743090351,41529.74329,278.8,0.076923077,0,82.18031113,6.119749539,32.12395835,22.21,27.16697918,9.913958353,24069.91351,61.4,0.033333333,0,81.24359069,6.939611841,33.87152099,21.70152099,27.78652099,12.17,13237.87063,53.4,0.066666667,0,75.21329153,7.676977306,124,232,112,4700
"2814","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",72600,"OGM","NO",3,2,3,1.7,6,"MEDIA","BUENO",67,"ArA",32.58951846,22.90544254,27.7474805,9.684075917,42687.82141,391,0.115384615,0,81.80260956,6.428317726,32.23479269,22.83239444,27.53359357,9.402398256,23968.8537,264,0.133333333,0,83.8939486,4.422125974,31.5643293,22.1097561,26.8370427,9.4545732,16043.11925,40.6,0.024390244,0,83.37994858,6.948348225,54,54,54,3000
"2816","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",73200,"OGM","NO",3,3,3,1.8,6,"MEDIA","BUENO",57,"FrL",32.64913384,22.88621177,27.76767281,9.762922071,42967.81184,388.4,0.115384615,0,81.78353715,6.42382269,32.20145936,22.8740611,27.53776023,9.327398256,23796.86327,260.8,0.133333333,0,83.93304885,4.427259881,31.66843753,22.0575,26.86296876,9.61093753,15875.95179,38.8,0.025,0,82.8755886,7.217684802,54,54,54,2600
"2824","SI",0.8,0.16,"Blanco","Arroz","VERDADERO",70000,"OGM","NO",3,2,6,2,6,"MEDIA","BUENO",33,"A",34.62443871,24.10815897,29.36629884,10.51627974,37411.59885,13.3,0,0,69.0072866,9.524029232,35.41000667,22.95140941,29.18070804,12.45859725,21174.34437,11.5,0,0,74.17713359,6.938217607,37.46705377,22.25294118,29.85999747,15.2141126,12028.96563,0.9,0,0,65.10661237,5.572642555,137,58,58,4800
"2845","SI",0.9,0.16,"Blanco","Maiz","VERDADERO",74000,"OGM","NO",3,2,6,1.7,7,"BAJA","LENTO A MUY LENTO",35,"A",34.62443871,24.10815897,29.36629884,10.51627974,37411.59885,13.3,0,0,69.0072866,9.524029232,35.41000667,22.95140941,29.18070804,12.45859725,21174.34437,11.5,0,0,74.17713359,6.938217607,37.46705377,22.25294118,29.85999747,15.2141126,12028.96563,0.9,0,0,65.10661237,5.572642555,178,40,40,5000
"2850","SI",0.85,0.16,"Blanco","Arroz","VERDADERO",71600,"OGM","NO",2,4,6,1.8,6,"MEDIA","BUENO",65,"FA",34.00528578,24.65156343,29.32842461,9.353722346,36013.13849,13.3,0,0,67.88608107,9.189869011,35.10020276,24.16595484,29.6330788,10.93424793,20762.76519,11.5,0,0,68.92165494,10.18565618,36.63163453,22.275,29.45331726,14.35663453,13818.79921,0.6,0,0,69.25603919,7.991060233,138,40,80,6500
"2851","SI",0.85,0.16,"Blanco","Arroz","VERDADERO",75000,"OGM","SI",2,2,5,1.7,6,"MEDIA","BUENO",66,"FA",34.06970417,24.55734293,29.31352355,9.512361239,35625.12042,12.9,0,0,68.55147037,9.586535065,35.06622872,23.87044417,29.46833644,11.19578456,20354.2977,11.5,0,0,70.55534699,10.32789796,37.01955174,22.25333333,29.63644254,14.76621841,16074.14266,0.8,0,0,67.75518925,7.283214709,110,58,58,4600
"2856","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",71100,"OGM","NO",2,3,5,1.9,7,"MEDIA","BUENO",40,"A",34.32735799,24.32683725,29.32709762,10.00052074,35588.12226,12.9,0,0,69.18770839,9.720722874,35.09779649,23.37850155,29.23814902,11.71929494,19941.50075,11.5,0,0,73.59446345,8.605292775,37.53732952,22.13111111,29.83422031,15.40621841,16376.78381,1,0,0,65.24182371,5.116562247,132,40,40,5000
"2857","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",72000,"OGM","NO",2,3,4,1.8,7,"MEDIA","BUENO",40,"A",34.32735799,24.32683725,29.32709762,10.00052074,35588.12226,12.9,0,0,69.18770839,9.720722874,35.09779649,23.37850155,29.23814902,11.71929494,19941.50075,11.5,0,0,73.59446345,8.605292775,37.53732952,22.13111111,29.83422031,15.40621841,16376.78381,1,0,0,65.24182371,5.116562247,132,40,0,4800
"2922","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",72500,"OGM","NO",2,5,6,1.7,7,"MEDIA","BUENO",40,"A",34.49638006,24.24291448,29.36964727,10.25346558,35736.90986,12.9,0,0,69.15142932,9.713046923,35.23319148,23.12943021,29.18131085,12.10376127,20069.81867,11.5,0,0,74.2214465,7.541359002,37.42449571,22.25,29.83724785,15.17449571,14307.8173,1,0,0,65.26113682,5.274547349,164,72,72,6600
"2956","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",73000,"OGM","NO",2,2,8,1.8,7,"MEDIA","BUENO",67,"FA",32.22977193,22.75521237,27.49249215,9.474559561,40306.26124,378.8,0.121212121,0,83.64437901,5.245885285,32.11798356,22.79901169,27.45849762,9.318971869,22540.82272,237.8,0.122807018,0,84.47912692,4.544447958,32.34318182,22.075,27.20909091,10.26818182,17574.4134,18,0,0,79.1261138,6.790079161,178,40,120,6300
"2958","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",73000,"OGM","NO",1,3,8,1.8,7,"BAJA","LENTO A MUY LENTO",40,"Ar",35.81111864,23.37588282,29.59350073,12.43523582,35207.10159,12.1,0,0,68.85111561,9.345644921,36.19939265,22.43157895,29.3154858,13.7678137,19819.95798,1.4,0,0,71.47019046,8.567722095,38.65578132,22.48918919,30.57248525,16.16659213,13903.6191,0.5,0,0,61.05271111,8.640539743,170,103,58,4500
"2959","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",73000,"OGM","NO",1,2,7,1.9,7,"BAJA","LENTO A MUY LENTO",40,"Ar",35.74177818,23.42260176,29.58218997,12.31917642,35247.00931,12.1,0,0,68.89062867,9.309465541,36.11167335,22.44385965,29.2777665,13.6678137,19753.72832,1.4,0,0,71.91791716,8.232229473,38.66317715,22.56666667,30.61492191,16.09651048,14626.20283,0.5,0,0,61.01529631,8.507157923,162,98,58,4500
"2960","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",74000,"OGM","NO",1,3,7,2,7,"MEDIA","BUENO",67,"Ar",35.85914005,23.24863957,29.55388981,12.61050048,35293.75136,12.3,0,0,69.31957873,9.225498296,36.29588388,22.44561404,29.37074896,13.85026984,19992.46516,1.6,0,0,70.77940099,8.402564386,39.16061305,22.71025641,30.93543473,16.45035664,14606.48034,0.3,0,0,59.25114561,8.509913918,150,58,98,4000
"2963","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",71800,"Hibrido","NO",2,2,4,1.8,7,"BAJA","LENTO A MUY LENTO",40,"A",32.43459659,22.29438047,27.36448853,10.14021613,40132.90708,106.8,0.03030303,0,80.86924634,6.833059894,32.56315789,21.92631579,27.24473684,10.63684211,23387.03541,42.4,0.01754386,0,78.4096213,7.124372265,34.01937309,22.50229992,28.2608365,11.51707317,18133.82711,89.8,0.073170732,0,75.75252731,7.313169138,122,36,36,4000
"2974","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",71000,"OGM","SI",1,2,8,1.9,7,"MEDIA","BUENO",66,"FrL",32.20429356,22.43276431,27.31852893,9.771529258,39445.96339,276.8,0.080808081,0,82.26162533,6.243814188,32.11995616,22.21578947,27.16787282,9.904166688,22758.23887,39.6,0.01754386,0,81.04242066,7.054835112,33.88124608,21.76410323,27.82267465,12.11714286,15605.0327,75.4,0.085714286,0,75.44265702,7.833321791,170,103,58,4800
