"ID","SEM_TRATADAS","DIST_SURCOS","DIST_PLANTAS","COLOR_ENDOSPERMO","CULT_ANT","DRENAJE","POBLACION_20DIAS","TIPO_MATERIAL","ALMACENAMIENTO_FINCA","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","MAT_ORGANICA","DRE_INTERN","PROF_EFEC","PText","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Temp_Min_15_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Temp_Min_15_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Temp_Min_15_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"1686","SI",0.8,0.14,"Blanco","Arroz","VERDADERO",86171,"Hibrido","SI",3,1,6,2,6,"BAJA","LENTO A MUY LENTO",25,"ArA",31.23756447,24.38022383,27.80889415,6.857340641,40460.79212,15.9,0,0,75.21335122,10.80597294,31.91703749,24.34755192,28.13229471,7.569485568,24389.12176,15.9,0,0,71.03636364,10.32528002,32.40030907,24.69146717,28.54588812,7.708841897,13049.35407,45.5,0.03030303,0,57.39520202,7.282331235,144,40,80,6700
"1687","SI",0.8,0.14,"Blanco","Arroz","FALSO",86136,"Hibrido","NO",0,1,4,2,6,"BAJA","LENTO A MUY LENTO",29,"ArA",31.21954346,24.35173825,27.78564085,6.86780521,40419.92609,15.9,0,0,75.03194793,11.05354393,31.97151666,24.34438314,28.1579499,7.627133514,24570.58587,15.9,0,0,70.35580808,10.58375309,32.44482609,24.79508113,28.61995361,7.649744959,9229.607656,45.5,0.043478261,0,58.61775362,6.804188264,52,40,80,4500
"1693","NO",0.8,0.14,"Blanco","Arroz","VERDADERO",87100,"Hibrido","NO",2,0,4,2,7,"BAJA","LENTO A MUY LENTO",28,"FA",31.23843359,24.43132036,27.83487698,6.807113228,40370.74905,15.9,0,0,75.60458608,9.98208949,31.71139371,24.27880639,27.99510005,7.432587319,24123.56631,15.9,0,0,72.65858586,9.207964913,33.0117562,25.16767292,29.08971456,7.844083278,26576.94217,79.3,0.045454545,0,54.33522727,8.785712931,116,58,18,6000
"1701","SI",0.8,0.14,"Amarillo","Arroz","FALSO",74225,"Hibrido","SI",2,2,6,2,6,"MEDIA","LENTO A MUY LENTO",20,"FA",31.66923077,22.55,27.10961538,9.119230769,44054.82426,572.2,0.153846154,0,85.39635591,5.287324606,31.32,22.16333333,26.74166667,9.156666667,25132.79272,345,0.166666667,0,86.9298913,5.177633571,32.82608696,21.82608696,27.32608696,11,21086.09569,96.8,0.043478261,0,80.42119565,5.681742122,150,40,60,6500
"1703","NO",0.8,0.14,"Amarillo","Arroz","VERDADERO",76550,"Hibrido","SI",3,3,7,2,7,"BAJA","LENTO A MUY LENTO",21,"ArA",31.05853319,24.81644152,27.93748735,6.242091667,38444.852,0,0,0,78.7495526,7.218313643,30.666887,24.38729298,27.52708999,6.279594027,22310.04835,0,0,0,80.47642142,7.199534826,31.97291658,24.46813863,28.22052761,7.50477795,17201.73898,15.5,0,0,70.10019841,7.994080527,122,86,120,5500
"1732","SI",0.8,0.14,"Amarillo","Arroz","VERDADERO",78678,"Hibrido","SI",3,2,7,1,6,"BAJA","LENTO A MUY LENTO",18,"FA",33.61646594,21.71066918,27.66356756,11.90579676,45929.80669,160.4,0.057692308,0,73.36457341,9.693972654,34.18769645,21.72819941,27.95794793,12.45949704,26696.13334,156.2,0.1,0,69.60102822,9.668736377,33.26745166,22.77894737,28.02319951,10.48850429,16692.27405,166,0.157894737,0,77.07388727,9.584900091,138,40,120,6000
"1734","NO",0.8,0.14,"Amarillo","Arroz","FALSO",74567,"Hibrido","SI",0,1,4,2,6,"BAJA","LENTO A MUY LENTO",19,"ArL",35.8805724,23.48655298,29.68356269,12.39401942,38944.803,77.8,0.019230769,0,65.28383958,10.13433668,38.45162217,23.34432659,30.89797438,15.10729558,22887.98422,77.7,0.033333333,0,59.87178894,8.298854132,35.47944895,23.60992306,29.54468601,11.86952589,13385.16483,81,0.054054054,0,68.68223783,8.621033231,138,18,18,5500
"1737","SI",0.8,0.14,"Amarillo","Arroz","VERDADERO",78000,"Hibrido","SI",3,1,6,1.5,6,"BAJA","LENTO A MUY LENTO",20,"FA",32.12992058,22.67771517,27.40381787,9.452205407,42379.85593,410.2,0.125,0,83.12295968,6.009524628,31.76968028,22.39919091,27.0844356,9.370489372,24618.77339,301,0.15,0,85.03078717,5.138058423,33.61432223,21.69227546,27.65329885,11.92204677,28341.91327,46.4,0.030769231,0,73.10157671,9.233189221,100,18,98,6000
"1740","SI",0.8,0.14,"Amarillo","Arroz","VERDADERO",82456,"Hibrido","NO",1,2,5,2,6,"BAJA","LENTO A MUY LENTO",17,"FA",34.54082162,23.51751967,29.02917064,11.02330196,38204.257,113.7,0.028846154,0,68.37527769,10.24331287,37.26212576,22.84219353,30.05215965,14.41993223,22403.22634,77.7,0.033333333,0,62.84960782,8.572430357,35.32318478,23.82505565,29.57412021,11.49812914,25932.75876,93.9,0.02739726,0,67.95677363,10.01106611,79,51,80,6000
"1912","SI",0.8,0.2,"Blanco","Arroz","VERDADERO",72500,"Hibrido","NO",0,3,4,2,6,"BAJA","LENTO A MUY LENTO",19,"Ar",30.23306762,24.72076278,27.4769152,5.512304844,32414.84422,260.1,0.067307692,0,72.64264471,7.325279136,28.65964081,25.58356913,27.12160497,3.07607168,18216.83002,208.1,0.1,0,70.8480362,6.746201988,33.57550531,24.69538741,29.13544636,8.880117901,19610.43061,2.7,0,0,68.29084092,7.958473807,144,18,18,6000
